latitude,longitude,weibull_c
21.875,121.125,9.550901464968089
21.375,120.625,9.514559521544316
21.375,121.125,9.431588385881742
20.875,120.625,9.393480345240551
18.875,120.125,9.341388531375351
20.875,120.125,9.305654507887635
20.875,121.125,9.251346694593217
19.375,120.125,9.245474496288534
20.375,120.625,9.236656126895166
20.375,120.125,9.228903519096527
19.875,120.125,9.226293153348216
19.875,119.625,9.196529731454635
19.375,119.625,9.192258533028362
20.375,119.625,9.15530116724482
19.875,120.625,9.153782705046762
18.875,119.625,9.15068598092223
21.875,121.625,9.14059846089973
20.375,121.125,9.132913616173532
19.375,120.625,9.129819085086147
19.375,119.125,9.082399933748945
