latitude,longitude,weibull_k
21.375,119.125,2.5927796927953386
3.875,117.125,2.5825168258813322
21.375,119.625,2.562694592087934
4.375,117.125,2.537258820126479
21.875,120.625,2.5117699146652077
21.375,118.625,2.502432454155045
20.875,118.625,2.4906495143844647
21.875,120.125,2.4810910510233795
20.875,119.125,2.4631461100731666
3.375,116.625,2.458199851803029
3.875,116.625,2.457219946498168
21.875,119.625,2.4562695772850667
11.875,121.625,2.4496142581136775
21.875,123.625,2.448520604235792
3.875,117.625,2.4466008559937875
21.375,123.125,2.446424515669165
5.875,116.625,2.442686527166387
8.875,125.125,2.4418012042684927
21.375,123.625,2.440307683020695
21.875,124.125,2.4391049998040266
